0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
2.2.2.2 : 333
2.2.2.3 : 333
2.2.2.4 : 333
2.2.2.5 : 333,334
2.2.2.6 : 334
2.2.2.7 : 334,335
2.2.2.8 : 335
2.2.2.9 : 336,337
2.2.2.10 : 337
2.2.2.11 : 337
2.2.2.12 : 337,338
2.2.2.13 : 338
2.2.2.14 : 338,339
2.2.2.15 : 339
2.2.2.16 : 339,340
2.2.2.17 : 340,341
2.2.2.18 : 341
2.2.2.19 : 341,342
2.2.2.20 : 342,343
2.2.2.21 : 343
2.2.2.22 : 343,344
2.2.2.23 : 344
2.2.2.24 : 344,345
2.2.2.25 : 345
2.2.2.26 : 345,346
2.2.2.27 : 346
2.2.2.28 : 346,347
2.2.2.28n60 : 347
2.2.2.28n61 : 347
2.2.2.28n62 : 347
2.2.2.28n63 : 347
2.2.2.28n64 : 347
2.2.3.1 : 347
2.2.3.2 : 348
2.2.3.3 : 348
2.2.3.4 : 348,349
2.2.3.5 : 349,350
2.2.3.6 : 350
2.2.3.7 : 350
2.2.3.8 : 350,351
2.2.3.9 : 351
2.2.3.10 : 351
2.2.4.1 : 351
2.2.4.2 : 351,352
2.2.4.3 : 352
2.2.4.4 : 352,353
2.2.4.5 : 353
2.2.4.6 : 354
2.2.4.7 : 354
2.2.4.8 : 354,355
2.2.4.9 : 355
2.2.4.10 : 355,356
2.2.4.11 : 356
2.2.4.12 : 356,357
2.2.4.13 : 357
2.2.5.1 : 357
2.2.5.2 : 357,358
2.2.5.3 : 358
2.2.5.4 : 358,359
2.2.5.5 : 359
2.2.5.6 : 359,360
2.2.5.7 : 360
2.2.5.8 : 360
2.2.5.9 : 360,361
2.2.5.10 : 361
2.2.5.11 : 361,362
2.2.5.12 : 362
2.2.5.13 : 362
2.2.5.14 : 362
2.2.5.15 : 362,363
2.2.5.16 : 363,364
2.2.5.17 : 364
2.2.5.18 : 364
2.2.5.19 : 364,365
2.2.5.20 : 365
2.2.5.21 : 365
2.2.6.1 : 366
2.2.6.2 : 366,367
2.2.6.3 : 367
2.2.6.4 : 367
2.2.6.5 : 367,368
2.2.6.6 : 368
2.2.7.1 : 368,369
2.2.7.2 : 369
2.2.7.3 : 369,370
2.2.7.4 : 370
2.2.7.5 : 370,371
2.2.7.6 : 371
2.2.7.6n* : 371
2.2.8.1 : 372
2.2.8.2 : 372
2.2.8.3 : 372,373
2.2.8.4 : 373,374
2.2.8.5 : 374
2.2.8.6 : 374,375
2.2.8.7 : 375
2.2.8.8 : 375
2.2.8.9 : 375,376
2.2.8.10 : 376
2.2.8.11 : 376,377
2.2.8.12 : 377
2.2.8.13 : 377,378
2.2.8.14 : 378
2.2.8.15 : 378
2.2.8.16 : 378
2.2.8.17 : 379
2.2.8.18 : 379,380
2.2.8.19 : 380
2.2.8.20 : 380
2.2.8.4n65 : 373
2.2.9.1 : 381
2.2.9.2 : 381,382
2.2.9.3 : 382
2.2.9.4 : 382
2.2.9.5 : 382,383
2.2.9.6 : 383
2.2.9.7 : 383
2.2.9.8 : 383,384
2.2.9.9 : 384
2.2.9.10 : 384
2.2.9.11 : 384,385
2.2.9.12 : 385
2.2.9.13 : 385,386
2.2.9.14 : 386
2.2.9.15 : 387
2.2.9.16 : 387,388
2.2.9.17 : 388
2.2.9.18 : 388
2.2.9.19 : 388,389
2.2.9.20 : 389
2.2.10.1 : 389
2.2.10.2 : 389,390
2.2.10.3 : 390
2.2.10.4 : 390
2.2.10.5 : 391
2.2.10.6 : 391
2.2.10.7 : 391,392
2.2.10.8 : 392
2.2.10.9 : 392,393
2.2.10.10 : 393
2.2.11.1 : 394
2.2.11.2 : 394
2.2.11.3 : 394,395
2.2.11.4 : 395
2.2.11.5 : 395,396
2.2.11.6 : 396
2.2.12.1 : 397
2.2.12.2 : 397
2.2.12.3 : 397
2.2.12.4 : 397,398
2.2.12.5 : 398
2.2.12.6 : 398
2.2.12.7 : 398
2.2.12.8 : 398
2.3.1.1 : 399
2.3.1.2 : 399
2.3.1.3 : 399,400
2.3.1.4 : 400,401
2.3.1.5 : 401
2.3.1.6 : 401
2.3.1.7 : 401
2.3.1.8 : 401,402
2.3.1.9 : 402
2.3.1.10 : 402,403
2.3.1.11 : 403
2.3.1.12 : 403,404
2.3.1.13 : 404
2.3.1.14 : 404
2.3.1.15 : 404,405
2.3.1.16 : 405,406
2.3.1.17 : 406,407
2.3.1.18 : 407
2.3.2.1 : 407,408
